Object,Actual Mass (kg),Predicted Mass (kg),% Error,Predicted Mass (kg) [CANON],% Error [CANON],Predicted Mass (kg) [Sector Norm],% Error [Sector Norm]
Nd,2.3951615504915565e-25,2.41105881558969e-25,0.66% ❤️🡅,5.4656302209e-29,-99.98% 🔴🡇,2.4626135687496956e-25,2.82% 🟡🡅
Pm,2.4077816474020777e-25,2.4277941442102915e-25,0.83% ❤️🡅,5.556724057915001e-29,-99.98% 🔴🡇,2.4793488973702965e-25,2.97% 🟡🡅
Sm,2.4967865414025964e-25,2.511526572752493e-25,0.59% ❤️🡅,5.647817894930001e-29,-99.98% 🔴🡇,2.565536314158213e-25,2.75% 🟡🡅
Eu,2.5233551664773776e-25,2.5450111763534946e-25,0.86% ❤️🡅,5.738911731945e-29,-99.98% 🔴🡇,2.599634664820643e-25,3.02% 🟡🡅
Gd,2.611197683130874e-25,2.628743604895696e-25,0.67% ❤️🡅,5.83000556896e-29,-99.98% 🔴🡇,2.685822081608559e-25,2.86% 🟡🡅
Tb,2.639094739459395e-25,2.662228208496697e-25,0.88% ❤️🡅,5.921099405975001e-29,-99.98% 🔴🡇,2.719920432270989e-25,3.06% 🟡🡅
Dy,2.698375984157501e-25,2.7292113620584994e-25,1.14% 🟢🡅,6.01219324299e-29,-99.98% 🔴🡇,2.7887448270170765e-25,3.35% 🟡🡅
Ho,2.738727083489826e-25,2.762695965659501e-25,0.88% ❤️🡅,6.103287080005e-29,-99.98% 🔴🡇,2.8228431776795067e-25,3.07% 🟡🡅
Er,2.777417643754976e-25,2.7961805692605017e-25,0.68% ❤️🡅,6.194380917020001e-29,-99.98% 🔴🡇,2.8569415283419364e-25,2.86% 🟡🡅
Tm,2.8051486461767794e-25,2.8296651728615035e-25,0.87% ❤️🡅,6.285474754035001e-29,-99.98% 🔴🡇,2.891039879004367e-25,3.06% 🟡🡅
Yb,2.873562855744342e-25,2.8966483264233053e-25,0.80% ❤️🡅,6.37656859105e-29,-99.98% 🔴🡇,2.9598642737504545e-25,3.00% 🟡🡅
Lu,2.9054452058340798e-25,2.9301329300243067e-25,0.85% ❤️🡅,6.467662428065001e-29,-99.98% 🔴🡇,2.9939626244128847e-25,3.05% 🟡🡅
Hf,2.9638961809985993e-25,2.980366808605708e-25,0.56% ❤️🡅,6.558756265080001e-29,-99.98% 🔴🡇,3.045423997117143e-25,2.75% 🟡🡅
Ta,3.0047454420510756e-25,3.03060068718711e-25,0.86% ❤️🡅,6.649850102095e-29,-99.98% 🔴🡇,3.0968853698214024e-25,3.07% 🟡🡅
W,3.0527350210924e-25,3.080834565768511e-25,0.92% ❤️🡅,6.74094393911e-29,-99.98% 🔴🡇,3.148346742525661e-25,3.13% 🟡🡅
Re,3.0920897969844204e-25,3.1143191693695125e-25,0.72% ❤️🡅,6.832037776125001e-29,-99.98% 🔴🡇,3.182445093188091e-25,2.92% 🟡🡅
Os,3.1588434674848085e-25,3.1813023229313143e-25,0.71% ❤️🡅,6.92313161314e-29,-99.98% 🔴🡇,3.2512694879341785e-25,2.93% 🟡🡅
Ir,3.191888194921568e-25,3.2147869265323156e-25,0.72% ❤️🡅,7.014225450155e-29,-99.98% 🔴🡇,3.285367838596608e-25,2.93% 🟡🡅
Pt,3.23937961224274e-25,3.265020805113717e-25,0.79% ❤️🡅,7.105319287170001e-29,-99.98% 🔴🡇,3.336829211300867e-25,3.01% 🟡🡅
Au,3.270763800612326e-25,3.298505408714719e-25,0.85% ❤️🡅,7.196413124185001e-29,-99.98% 🔴🡇,3.370927561963297e-25,3.06% 🟡🡅
Hg,3.3308753148440195e-25,3.3654885622765196e-25,1.04% 🟢🡅,7.2875069612e-29,-99.98% 🔴🡇,3.4397519567093843e-25,3.27% 🟡🡅
Tl,3.393809745489908e-25,3.4157224408579214e-25,0.65% ❤️🡅,7.378600798215001e-29,-99.98% 🔴🡇,3.4912133294136436e-25,2.87% 🟡🡅
Pb,3.4406369471842102e-25,3.465956319439323e-25,0.74% ❤️🡅,7.469694635230001e-29,-99.98% 🔴🡇,3.5426747021179025e-25,2.97% 🟡🡅
Bi,3.470194542579905e-25,3.499440923040324e-25,0.84% ❤️🡅,7.560788472245e-29,-99.98% 🔴🡇,3.5767730527803317e-25,3.07% 🟡🡅
Po,3.4705266503933395e-25,3.4994269766805265e-25,0.83% ❤️🡅,7.651882309260001e-29,-99.98% 🔴🡇,3.5761453593591053e-25,3.04% 🟡🡅
At,3.487132041065078e-25,3.516162305301128e-25,0.83% ❤️🡅,7.742976146275001e-29,-99.98% 🔴🡇,3.592880687979707e-25,3.03% 🟡🡅
Rn,3.68639672912594e-25,3.717139658706129e-25,0.83% ❤️🡅,7.83406998329e-29,-99.98% 🔴🡇,3.800609259060423e-25,3.10% 🟡🡅
Fr,3.703002119797678e-25,3.733874987326731e-25,0.83% ❤️🡅,7.925163820305e-29,-99.98% 🔴🡇,3.8173445876810246e-25,3.09% 🟡🡅
Ra,3.7528182918128935e-25,3.7841088659081326e-25,0.83% ❤️🡅,8.016257657320001e-29,-99.98% 🔴🡇,3.8688059603852835e-25,3.09% 🟡🡅
Ac,3.769423682484632e-25,3.8008441945287335e-25,0.83% ❤️🡅,8.107351494335001e-29,-99.98% 🔴🡇,3.885541289005885e-25,3.08% 🟡🡅
Th,3.853114851470194e-25,3.884576623070935e-25,0.82% ❤️🡅,8.19844533135e-29,-99.98% 🔴🡇,3.9717287057938007e-25,3.08% 🟡🡅
Pa,3.836509460798455e-25,3.8678134017307367e-25,0.82% ❤️🡅,8.289539168365001e-29,-99.98% 🔴🡇,3.953737990330745e-25,3.06% 🟡🡅
U,3.9525811415939075e-25,3.9850443802337384e-25,0.82% ❤️🡅,8.380633005380001e-29,-99.98% 🔴🡇,4.0746514512023185e-25,3.09% 🟡🡅
H2O,2.991461129513685e-26,3.01347486049215e-26,0.74% ❤️🡅,9.1093837015e-30,-99.97% 🔴🡇,3.062574625406441e-26,2.38% 🟢🡅
CO2,7.308032434632099e-26,7.36661279222033e-26,0.80% ❤️🡅,2.0040644143300002e-29,-99.97% 🔴🡇,7.501637145734629e-26,2.65% 🟡🡅
O2,5.313525750268249e-26,5.35753657616024e-26,0.83% ❤️🡅,1.45750139224e-29,-99.97% 🔴🡇,5.455736105988821e-26,2.68% 🟡🡅
N2,4.651734510436784e-26,4.68784450414021e-26,0.78% ❤️🡅,1.27531371821e-29,-99.97% 🔴🡇,4.773769092740219e-26,2.62% 🟡🡅
CH4,2.6635046637468497e-26,2.67848936088415e-26,0.56% ❤️🡅,9.1093837015e-30,-99.97% 🔴🡇,2.7153141845698685e-26,1.95% 🟢🡅
C6H12O6,2.991627183420402e-25,3.0135306459313437e-25,0.73% ❤️🡅,8.745008353440001e-29,-99.97% 🔴🡇,3.065085399091349e-25,2.46% 🟢🡅
NH3,2.8279810583504195e-26,2.84598211068815e-26,0.64% ❤️🡅,9.1093837015e-30,-99.97% 🔴🡇,2.8889444049881546e-26,2.16% 🟢🡅
HCl,6.054325438915844e-26,6.02722864818027e-26,-0.45% ❤️🡇,1.6396890662700002e-29,-99.97% 🔴🡇,6.137703119237425e-26,1.38% 🟢🡅
C2H2,4.324043730920697e-26,4.3528590045322106e-26,0.67% ❤️🡅,1.2753137182100003e-29,-99.97% 🔴🡇,4.426508651903646e-26,2.37% 🟢🡅
NaCl,9.70419030856396e-26,9.71067450788842e-26,0.07% ❤️🡅,2.5506274364200006e-29,-99.97% 🔴🡇,9.894798626317011e-26,1.96% 🟢🡅
CaCO3,1.661982075623221e-25,1.6742301800500748e-25,0.74% ❤️🡅,4.55469185075e-29,-99.97% 🔴🡇,1.7049175331215066e-25,2.58% 🟡🡅
C2H6,4.993240974991757e-26,5.02227214935627e-26,0.58% ❤️🡅,1.6396890662700002e-29,-99.97% 🔴🡇,5.0959217967277067e-26,2.06% 🟢🡅
C2H4,4.65781208342264e-26,4.6875655769442403e-26,0.64% ❤️🡅,1.45750139224e-29,-99.97% 🔴🡇,4.7612152243156764e-26,2.22% 🟢🡅
C8H18,1.8968337764326854e-25,1.9084968880188992e-25,0.61% ❤️🡅,6.012193242990001e-29,-99.97% 🔴🡇,1.9379567469674736e-25,2.17% 🟢🡅
C6H6,1.2970470653694916e-25,1.3058577013596632e-25,0.68% ❤️🡅,3.825941154630001e-29,-99.97% 🔴🡇,1.327952595571094e-25,2.38% 🟢🡅
CH3COOH,9.971869206192385e-26,1.004510215310448e-25,0.73% ❤️🡅,2.91500278448e-29,-99.97% 🔴🡇,1.0216951330304497e-25,2.46% 🟢🡅
H2SO4,1.6286401116934371e-25,1.640731630089275e-25,0.74% ❤️🡅,4.55469185075e-29,-99.97% 🔴🡇,1.6701914890378493e-25,2.55% 🟡🡅
C12H22O11,5.684025226936077e-25,5.725713805813473e-25,0.73% ❤️🡅,1.6579078336730001e-28,-99.97% 🔴🡇,5.823913335642055e-25,2.46% 🟢🡅
Caffeine,3.224600814544893e-25,6.696920720200299e-26,-79.23% 🔴🡇,1.8218767403e-29,-99.99% 🔴🡇,6.819670132486026e-26,-78.85% 🔴🡇
