file,relative_path,knot_id,harmonics_N,closure_error,length_series_units,scale_m_per_unit,length_m,writhe,crossing_est,sigma,sigma_source,Hvortex_X(b0=3),hyperbolic_volume_meta,Hvortex_Vol(Vol/Vol(4_1)),xi,K_fluid_kg_per_m,K_energy_kg_per_m,mass_fluid_kg,mass_energy_kg,type_meta,chiral_meta
knot.5_1.fseries,knots\5_1\knot.5_1.fseries,5_1,7,0.007411968361181637,11.465303673480427,1.0,11.465303673480427,0.009280993426684746,3,1.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.5_1p.fseries,knots\5_1\knot.5_1p.fseries,5_1p,10,0.0022715866762565203,3.8407927175301886,1.0,3.8407927175301886,0.04083257376708145,3,1.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.5_1u.fseries,knots\5_1\knot.5_1u.fseries,5_1u,7,0.014791082007003105,21.993559427779164,1.0,21.993559427779164,0.016706047305944056,4,1.0,writhe_fallback,1.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,2.165183570923611e-37,1.8092102276319988e-07,,
knot.5_2.fseries,knots\5_2\knot.5_2.fseries,5_2,10,0.003406518599631869,3.987834223537823,1.0,3.987834223537823,0.005258104860555131,1,1.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.5_2d.fseries,knots\5_2\knot.5_2d.fseries,5_2d,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.5_2r.fseries,knots\5_2\knot.5_2r.fseries,5_2r,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.6_1.fseries,knots\6_1\knot.6_1.fseries,6_1,10,0.003013391037322775,4.151031132776012,1.0,4.151031132776012,-0.9024579710346051,1,-1.0,writhe_fallback,-0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,-0.0,-0.0,,
knot.6_2.fseries,knots\6_2\knot.6_2.fseries,6_2,10,0.002577417385319735,3.9302846710922004,1.0,3.9302846710922004,-0.40031644464260774,1,-1.0,writhe_fallback,-0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,-0.0,-0.0,,
knot.6_2d.fseries,knots\6_2\knot.6_2d.fseries,6_2d,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.6_2p.fseries,knots\6_2\knot.6_2p.fseries,6_2p,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.6_3d.fseries,knots\6_3\knot.6_3d.fseries,6_3d,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.6_3z.fseries,knots\6_3\knot.6_3z.fseries,6_3z,10,0.003100992260359057,4.653239673936681,1.0,4.653239673936681,0.003466442629536746,3,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.7_1.fseries,knots\7_1\knot.7_1.fseries,7_1,9,0.008035641377635518,12.246165733962437,1.0,12.246165733962437,0.006538766339805805,3,1.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.7_1p.fseries,knots\7_1\knot.7_1p.fseries,7_1p,20,0.0031829832727993715,3.4664402239384,1.0,3.4664402239384,-4.717363198015535,7,-1.0,writhe_fallback,-4.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,-1.3650322399348097e-37,-1.1406101185609839e-07,,
knot.7_2.fseries,knots\7_2\knot.7_2.fseries,7_2,10,0.0017718428394581194,3.9887219836010286,1.0,3.9887219836010286,-0.000261675387250654,3,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.7_2d.fseries,knots\7_2\knot.7_2d.fseries,7_2d,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.7_2r.fseries,knots\7_2\knot.7_2r.fseries,7_2r,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
