latitude_deg,height_m,lab_size_m,R_eff_m,delta_Omega_p_rad_s,Foucault_Omega_p_rad_s,Foucault_period_hours,v_surface_m_s,v_lab_m_s,frac_GR_height,frac_rot_kin,frac_VAM_swirl,frac_TOTAL,ns_day_GR_height,ns_day_rot_kin,ns_day_VAM_swirl,ns_day_TOTAL
53.219,100,5.0,2.5,5e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00014726183632605158,1.0911369672198217e-14,-4.314455655267603e-13,-1.20644915051283e-25,-4.2053419585468274e-13,0.942742339677926,-37.27689686151209,-1.0423720660430851e-11,-36.33415452184459
53.219,100,5.0,2.5,1e-06,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00014851183632605156,1.0911369672198217e-14,-4.314455655267603e-13,-1.2270174376038012e-25,-4.2053419585468476e-13,0.942742339677926,-37.27689686151209,-1.0601430660896842e-11,-36.334154521844766
53.219,100,10.0,5.0,0.0,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00029202367265210316,1.0911369672198217e-14,-4.314455655267603e-13,-4.744218859972466e-25,-4.205341958550365e-13,0.942742339677926,-37.27689686151209,-4.099005095016211e-11,-36.334154521875156
53.219,100,10.0,5.0,1e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00029252367265210317,1.0911369672198217e-14,-4.314455655267603e-13,-4.760478775885435e-25,-4.205341958550381e-13,0.942742339677926,-37.27689686151209,-4.113053662365016e-11,-36.33415452187529
53.219,100,10.0,5.0,5e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00029452367265210317,1.0911369672198217e-14,-4.314455655267603e-13,-4.82579660205132e-25,-4.2053419585504463e-13,0.942742339677926,-37.27689686151209,-4.1694882641723405e-11,-36.33415452187585
53.219,100,10.0,5.0,1e-06,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.0002970236726521031,1.0911369672198217e-14,-4.314455655267603e-13,-4.908069750415205e-25,-4.2053419585505286e-13,0.942742339677926,-37.27689686151209,-4.240572264358737e-11,-36.33415452187657
53.219,100,20.0,10.0,0.0,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.0005840473453042063,1.0911369672198217e-14,-4.314455655267603e-13,-1.8976875439889866e-24,-4.205341958564598e-13,0.942742339677926,-37.27689686151209,-1.6396020380064845e-10,-36.33415452199812
53.219,100,20.0,10.0,1e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.0005850473453042063,1.0911369672198217e-14,-4.314455655267603e-13,-1.904191510354174e-24,-4.2053419585646624e-13,0.942742339677926,-37.27689686151209,-1.6452214649460063e-10,-36.334154521998684
53.219,100,20.0,10.0,5e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.0005890473453042063,1.0911369672198217e-14,-4.314455655267603e-13,-1.930318640820528e-24,-4.205341958564924e-13,0.942742339677926,-37.27689686151209,-1.6677953056689362e-10,-36.334154522000944
53.219,100,20.0,10.0,1e-06,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.0005940473453042062,1.0911369672198217e-14,-4.314455655267603e-13,-1.963227900166082e-24,-4.205341958565253e-13,0.942742339677926,-37.27689686151209,-1.6962289057434948e-10,-36.33415452200379
53.219,200,5.0,2.5,0.0,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00014601183632605158,2.1822739344396433e-14,-4.314455655267603e-13,-1.1860547149931166e-25,-4.0962282618248244e-13,1.885484679355852,-37.27689686151209,-1.0247512737540528e-11,-35.39141218216648
53.219,200,5.0,2.5,1e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00014626183632605159,2.1822739344396433e-14,-4.314455655267603e-13,-1.1901196939713587e-25,-4.0962282618248285e-13,1.885484679355852,-37.27689686151209,-1.028263415591254e-11,-35.39141218216652
53.219,200,5.0,2.5,5e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00014726183632605158,2.1822739344396433e-14,-4.314455655267603e-13,-1.20644915051283e-25,-4.096228261824845e-13,1.885484679355852,-37.27689686151209,-1.0423720660430851e-11,-35.39141218216666
53.219,200,5.0,2.5,1e-06,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00014851183632605156,2.1822739344396433e-14,-4.314455655267603e-13,-1.2270174376038012e-25,-4.0962282618248653e-13,1.885484679355852,-37.27689686151209,-1.0601430660896842e-11,-35.39141218216684
53.219,200,10.0,5.0,0.0,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00029202367265210316,2.1822739344396433e-14,-4.314455655267603e-13,-4.744218859972466e-25,-4.096228261828383e-13,1.885484679355852,-37.27689686151209,-4.099005095016211e-11,-35.39141218219722
53.219,200,10.0,5.0,1e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00029252367265210317,2.1822739344396433e-14,-4.314455655267603e-13,-4.760478775885435e-25,-4.096228261828399e-13,1.885484679355852,-37.27689686151209,-4.113053662365016e-11,-35.391412182197364
53.219,200,10.0,5.0,5e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.00029452367265210317,2.1822739344396433e-14,-4.314455655267603e-13,-4.82579660205132e-25,-4.096228261828464e-13,1.885484679355852,-37.27689686151209,-4.1694882641723405e-11,-35.391412182197925
53.219,200,10.0,5.0,1e-06,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.0002970236726521031,2.1822739344396433e-14,-4.314455655267603e-13,-4.908069750415205e-25,-4.0962282618285463e-13,1.885484679355852,-37.27689686151209,-4.240572264358737e-11,-35.39141218219864
53.219,200,20.0,10.0,0.0,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.0005840473453042063,2.1822739344396433e-14,-4.314455655267603e-13,-1.8976875439889866e-24,-4.0962282618426156e-13,1.885484679355852,-37.27689686151209,-1.6396020380064845e-10,-35.391412182320195
53.219,200,20.0,10.0,1e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.0005850473453042063,2.1822739344396433e-14,-4.314455655267603e-13,-1.904191510354174e-24,-4.09622826184268e-13,1.885484679355852,-37.27689686151209,-1.6452214649460063e-10,-35.39141218232076
53.219,200,20.0,10.0,5e-07,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.0005890473453042063,2.1822739344396433e-14,-4.314455655267603e-13,-1.930318640820528e-24,-4.0962282618429417e-13,1.885484679355852,-37.27689686151209,-1.6677953056689362e-10,-35.391412182323016
53.219,200,20.0,10.0,1e-06,5.840473453042063e-05,29.883352197847234,278.48301074220336,0.0005940473453042062,2.1822739344396433e-14,-4.314455655267603e-13,-1.963227900166082e-24,-4.096228261843271e-13,1.885484679355852,-37.27689686151209,-1.6962289057434948e-10,-35.39141218232586
