file,relative_path,ext,knot_id,closure_error,length_series_units,length_m,writhe,crossing_est,sigma,Hvortex_X(b0=3),mass_fluid_kg,mass_energy_kg
knot.6_2p.fseries,6_2\knot.6_2p.fseries,.fseries,6_2p,0.01961109017077124,16.358945838024454,16.358945838024454,-21.6357581823475,103,-1.0,-100.0,-1.6104769617864593e-35,-1.3457017824067755e-05
knot.6_3d.fseries,6_3\knot.6_3d.fseries,.fseries,6_3d,0.08269482681939896,45.21932454356548,45.21932454356548,-1.7077371844093285,43,-1.0,-40.0,-1.7806692711381136e-35,-1.4879131269220003e-05
knot.6_3z.fseries,6_3\knot.6_3z.fseries,.fseries,6_3z,0.04845282024526014,31.457166973974175,31.457166973974175,-1.8450291288843583,28,-1.0,-25.0,-7.742100743572917e-36,-6.4692380067591065e-06
knot.7_1.fseries,7_1\knot.7_1.fseries,.fseries,7_1,0.028604667861037564,17.59968383156548,17.59968383156548,9.038521280837099,7,1.0,4.0,6.930491885260675e-37,5.791064078684791e-07
knot.7_1p.fseries,7_1\knot.7_1p.fseries,.fseries,7_1p,0.01933642955285767,11.590744143662334,11.590744143662334,-4.410719835698646,41,-1.0,-38.0,-4.336048366012453e-36,-3.6231676411392456e-06
knot.7_2.fseries,7_2\knot.7_2.fseries,.fseries,7_2,0.02792614633240125,15.721440833918717,15.721440833918717,-0.649058116940319,72,-1.0,-69.0,-1.0679247170732782e-35,-8.923494277419628e-06
knot.7_2d.fseries,7_2\knot.7_2d.fseries,.fseries,7_2d,0.11205724190796103,34.997610988767605,34.997610988767605,0.02206228538296516,15,1.0,12.0,4.1344605042189964e-36,3.4547224218881077e-06
knot.7_2r.fseries,7_2\knot.7_2r.fseries,.fseries,7_2r,0.03228425985266,15.303286751799263,15.303286751799263,7.15809275413378,88,1.0,85.0,1.2805685860077876e-35,1.0700329589149995e-05
knot.7_3.fseries,7_3\knot.7_3.fseries,.fseries,7_3,0.02452606467491533,15.198867066895446,15.198867066895446,-16.333735493709746,71,-1.0,-68.0,-1.0174646544598673e-35,-8.501853994382606e-06
knot.7_3d.fseries,7_3\knot.7_3d.fseries,.fseries,7_3d,0.010510317358694522,8.35578874758782,8.35578874758782,1.2101904584173209,67,1.0,64.0,5.264615129619298e-36,4.399070667708034e-06
